,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_value,params_delta,params_dropout,params_epochs,params_gamma,params_hidden_size,params_learning_rate,params_num_layers,params_patience,params_step_size,params_threshold,state
68,68,0.20286527276039124,2024-09-30 13:00:28.965055,2024-09-30 13:04:05.191683,0 days 00:03:36.226628,128,0.30000000000000004,0.0,0.3466198142859452,200,0.5376843238201314,384,0.0003390067339004965,1,10,10,0.4,COMPLETE
69,69,0.04329206049442291,2024-09-30 13:04:05.200055,2024-09-30 13:07:40.932490,0 days 00:03:35.732435,128,0.5,0.0,0.3320800505341404,200,0.5954195387343855,384,0.0005090860025651422,1,10,15,0.5,COMPLETE
70,70,0.05053667351603508,2024-09-30 13:07:40.947167,2024-09-30 13:09:11.016696,0 days 00:01:30.069529,128,0.5,0.0,0.29195322952293185,200,0.7007175852330988,384,0.0009404386129220964,2,10,15,0.4,COMPLETE
71,71,0.01528539601713419,2024-09-30 13:09:11.025509,2024-09-30 13:10:41.426294,0 days 00:01:30.400785,128,0.5,0.0,0.3106820263849286,200,0.7462524058234132,384,0.0014800178189329151,1,10,20,0.4,COMPLETE
72,72,0.016090035438537598,2024-09-30 13:10:41.435035,2024-09-30 13:12:20.533267,0 days 00:01:39.098232,128,0.30000000000000004,0.0,0.2540895128342865,200,0.7605053680117441,384,0.0006731820315787702,1,10,15,0.30000000000000004,COMPLETE
73,73,0.038764335215091705,2024-09-30 13:12:20.541956,2024-09-30 13:14:04.825789,0 days 00:01:44.283833,128,0.30000000000000004,0.0,0.26926509999891735,200,0.7659944276203109,384,0.0005909967013338904,1,10,15,0.30000000000000004,COMPLETE
74,74,0.15492162108421326,2024-09-30 13:14:04.833915,2024-09-30 13:17:39.537270,0 days 00:03:34.703355,128,0.30000000000000004,0.0,0.2014278923279066,200,0.7401618747165282,384,9.3308398119595e-05,1,10,15,0.4,COMPLETE
75,75,0.01860908977687359,2024-09-30 13:17:39.545221,2024-09-30 13:18:59.208536,0 days 00:01:19.663315,128,0.30000000000000004,0.0,0.24564008732300538,200,0.6811787622214257,384,0.0013970771146097822,1,10,15,0.4,COMPLETE
76,76,0.024690894410014153,2024-09-30 13:18:59.216213,2024-09-30 13:20:19.844146,0 days 00:01:20.627933,128,0.5,0.0,0.30591836900054037,200,0.8357789284454138,384,0.0007141929605082437,1,10,15,0.2,COMPLETE
77,77,0.019934330135583878,2024-09-30 13:20:19.845069,2024-09-30 13:21:38.268676,0 days 00:01:18.423607,128,0.5,0.0,0.2837843978718417,200,0.6194580283016405,384,0.002216455748606359,1,10,20,0.30000000000000004,COMPLETE
78,78,0.04606764018535614,2024-09-30 13:21:38.277516,2024-09-30 13:25:13.207543,0 days 00:03:34.930027,128,0.30000000000000004,0.0,0.26591333222151364,200,0.7155709571476017,384,0.0004690953837265824,1,10,10,0.4,COMPLETE
79,79,0.05838799104094505,2024-09-30 13:25:13.222757,2024-09-30 13:27:02.742972,0 days 00:01:49.520215,128,0.5,0.0,0.3388521857189038,200,0.6465077182506113,384,0.001060359774007449,2,10,20,0.4,COMPLETE
